zip;state;city;lat;lng
35616;AL;Cherokee;34.744.188;-87.972.445
35618;AL;Courtland;34.671.866;-87.314.255
35619;AL;Danville;34.452.189;-87.053.187
35620;AL;Elkmont;34.915.241;-86.910.452
35621;AL;Eva;34.347.778;-86.704.427
35622;AL;Falkville;34.347.653;-86.913.086
35630;AL;Florence;34.830.547;-87.655.985
35633;AL;Florence;34.882.471;-87.739.778
35640;AL;Hartselle;34.448.206;-86.924.235
35643;AL;Hillsboro;3.464.763;-87.180.379
35645;AL;Killen;34.901.632;-87.508.185
35646;AL;Leighton;34.710.982;-87.522.133
35647;AL;Lester;34.918.364;-87.143.396
35648;AL;Lexington;34.955.924;-87.393.519
35650;AL;Moulton;34.505.836;-87.222.385
35651;AL;Mount Hope;34.462.969;-87.451.453
35652;AL;Rogersville;34.849.544;-87.323.671
35653;AL;Russellville;34.506.568;-87.725.726
35660;AL;Sheffield;34.757.829;-87.697.057
35661;AL;Muscle Shoals;34.756.136;-87.630.443
35670;AL;Somerville;34.499.548;-86.800.931
35671;AL;Tanner;34.713.037;-86.989.152
35672;AL;Town Creek;34.649.138;-87.426.195
35673;AL;Trinity;34.591.771;-8.709.127
35674;AL;Tuscumbia;34.687.432;-87.683.259
35677;AL;Waterloo;3.493.568;-87.962.412
35739;AL;Ardmore;34.980.447;-86.834.612
35740;AL;Bridgeport;34.944.638;-85.727.681
35741;AL;Brownsboro;34.716.733;-86.468.703
35744;AL;Dutton;34.604.558;-85.906.729
35745;AL;Estillfork;34.913.017;-86.171.571
35746;AL;Fackler;3.482.589;-85.984.648
35747;AL;Grant;34.495.902;-86.259.041
35748;AL;Gurley;34.713.964;-86.394.028
35749;AL;Harvest;3.482.732;-86.749.929
35750;AL;Hazel Green;34.949.627;-86.593.484
35751;AL;Hollytree;34.798.979;-86.233.627
35752;AL;Hollywood;34.730.428;-85.953.173
35754;AL;Laceys Spring;34.499.647;-86.612.869
35755;AL;Langston;34.497.831;-8.610.563
35758;AL;Triana;34.713.409;-86.750.951
35759;AL;Meridianville;34.861.779;-86.578.879
35760;AL;New Hope;34.549.445;-863.961
35761;AL;New Market;34.899.991;-86.448.742
35763;AL;Big Cove;34.612.859;-86.466.577
35764;AL;Paint Rock;34.667.122;-86.332.562
35765;AL;Pisgah;34.688.601;-85.803.044
35766;AL;Princeton;34.840.217;-86.250.068
35768;AL;Hytop;3.467.227;-86.051.336
35771;AL;Section;34.543.275;-85.994.002
35772;AL;Stevenson;34.876.885;-85.850.803
35773;AL;Toney;34.911.644;-86.699.951
35774;AL;Trenton;34.740.065;-86.291.264
35775;AL;Valhermoso Sprin;34.538.145;-86.678
35776;AL;Woodville;34.668.927;-8.622.961
35801;AL;Huntsville;34.726.866;-86.567.318
35802;AL;Huntsville;34.667.922;-86.560.347
35803;AL;Huntsville;34.620.506;-8.655.096
35805;AL;Huntsville;34.705.943;-86.616.493
35806;AL;Huntsville;34.744.765;-86.670.411
35808;AL;Huntsville;34.684.525;-86.653.821
35810;AL;Huntsville;34.778.378;-86.609.063
35811;AL;Huntsville;34.778.949;-86.543.786
35816;AL;Huntsville;34.738.864;-86.624.948
35824;AL;Huntsville;34.658.321;-86.729.486
35901;AL;Southside;33.997.248;-86.010.279
35903;AL;Hokes Bluff;33.997.057;-85.928.724
35904;AL;Gadsden;34.021.694;-86.049.479
35905;AL;Glencoe;33.956.787;-85.927.586
35950;AL;Albertville;34.273.859;-86.206.447
35952;AL;Snead;34.042.916;-86.350.879
35953;AL;Ashville;33.837.366;-86.255.167
35954;AL;Attalla;34.029.597;-86.096.717
35957;AL;Boaz;34.173.686;-86.148.003
35958;AL;Bryant;34.945.026;-85.632.445
35959;AL;Cedar Bluff;34.241.662;-85.602.567
35960;AL;Centre;34.111.592;-85.609.229
35961;AL;Collinsville;34.267.957;-85.861.969
35962;AL;Crossville;34.258.784;-86.030.575
35963;AL;Dawson;34.356.838;-85.929.161
